176

529	0	3840	48	512	32
148	2	3824	80	32	32
527	0	4064	80	64	32
525	0	4064	112	64	32
523	0	4064	144	64	32
516	0	3616	176	64	32
132	4	3920	176	32	32
518	0	4016	176	160	32
512	0	3616	208	64	32
514	0	4064	208	64	32
500	0	3744	240	320	32
510	0	4064	240	64	32
496	0	3616	272	64	32
145	2	3760	272	32	32
498	0	4064	272	64	32
155	11	3855	287	32	64
493	0	3600	304	32	32
494	0	4064	304	64	32
490	0	3600	336	32	32
491	0	4064	336	64	32
157	10	3679	352	32	32
487	0	3600	368	32	32
488	0	4064	368	64	32
475	0	1568	432	64	32
477	0	3056	432	96	32
480	0	3360	432	64	32
482	0	3568	432	96	32
485	0	4064	432	64	32
463	0	1568	464	64	32
465	0	3056	464	96	32
468	0	3360	464	64	32
470	0	3568	464	96	32
473	0	4064	464	64	32
447	0	1568	496	64	32
449	0	3056	496	96	32
452	0	3360	496	64	32
454	0	3568	496	96	32
457	0	3776	496	128	32
461	0	4064	496	64	32
433	0	1568	528	64	32
435	0	3056	528	96	32
438	0	3360	528	64	32
440	0	3568	528	96	32
443	0	3808	528	64	32
445	0	4064	528	64	32
156	11	3759	543	32	64
414	0	1568	560	64	32
416	0	3056	560	96	32
419	0	3232	560	64	32
421	0	3360	560	64	32
423	0	3568	560	96	32
426	0	3680	560	64	32
428	0	3808	560	64	32
153	4	3984	560	32	32
430	0	4048	560	96	32
400	0	1568	592	64	32
402	0	3056	592	96	32
405	0	3360	592	64	32
407	0	3568	592	96	32
410	0	3808	592	64	32
412	0	4064	592	64	32
334	0	1824	624	576	32
352	0	2656	624	960	32
382	0	3328	624	128	32
386	0	3552	624	192	32
392	0	3872	624	192	32
398	0	4064	624	64	32
330	0	1568	656	64	32
332	0	4064	656	64	32
160	11	1969	672	32	64
159	11	3344	672	32	64
322	0	1600	688	128	32
326	0	2144	688	64	32
328	0	4064	688	64	32
318	0	1568	720	64	32
154	2	1648	720	32	32
172	12	2605	720	32	32
320	0	4064	720	64	32
158	10	3679	743	32	32
313	0	1568	752	64	32
315	0	3088	752	32	32
316	0	4064	752	64	32
289	0	32	816	64	32
291	0	1280	816	640	32
311	0	3040	816	64	32
272	0	32	848	64	32
274	0	992	848	64	32
276	0	1472	848	256	32
136	4	1712	848	32	32
284	0	1760	848	64	32
286	0	1888	848	64	32
287	0	3040	848	64	32
170	12	2160	849	32	32
202	0	512	880	1024	32
234	0	1472	880	256	32
242	0	2048	880	128	32
246	0	2240	880	128	32
250	0	2720	880	704	32
173	14	687	898	28	28
188	0	32	912	64	32
190	0	288	912	64	32
192	0	1472	912	256	32
200	0	3040	912	64	32
163	11	2512	928	32	64
169	12	1988	931	32	32
171	12	2256	943	32	32
174	0	32	944	64	32
152	2	336	944	32	32
176	0	1536	944	256	32
184	0	2720	944	64	32
186	0	3040	944	64	32
168	0	32	976	64	32
151	4	368	976	32	32
170	0	416	976	64	32
172	0	3040	976	64	32
136	0	32	1008	64	32
138	0	480	1008	64	32
140	0	1856	1008	384	32
152	0	2272	1008	64	32
154	0	2592	1008	192	32
160	0	2944	1008	256	32
132	0	32	1040	64	32
134	0	3040	1040	64	32
161	11	2994	1055	32	64
165	13	495	1056	32	64
162	11	2575	1057	32	64
92	0	32	1072	64	32
166	10	286	1072	32	32
94	0	1056	1072	1088	32
128	0	2784	1072	64	32
130	0	3040	1072	64	32
174	14	956	1093	28	28
85	0	32	1104	64	32
135	2	1328	1104	32	32
86	0	1536	1104	128	32
90	0	3040	1104	64	32
164	13	625	1120	32	64
77	0	32	1136	64	32
79	0	1536	1136	128	32
83	0	3040	1136	64	32
75	0	1504	1200	64	32
73	0	1504	1232	64	32
56	0	224	1264	448	32
131	4	1424	1264	32	32
70	0	1488	1264	96	32
24	0	928	1296	960	32
54	0	1504	1296	64	32
22	0	1504	1328	64	32
175	15	223	1345	64	64
168	12	990	1359	32	32
20	0	1504	1360	64	32
16	0	32	1392	64	32
18	0	1504	1392	64	32
167	12	587	1410	32	32
12	0	32	1424	64	32
14	0	1504	1424	64	32
8	0	32	1456	64	32
10	0	1504	1456	64	32
4	0	32	1488	64	32
6	0	1504	1488	64	32
0	0	32	1520	64	32
2	0	1504	1520	64	32
